"Lnc/ CircRNA name","Cancer name","Methods","Expression pattern","Mechanism","Function","Clinical","Pubmed ID","Details","Box Plot","Stage Plot","Survival","Similar","Network"
"circABCB10","lung cancer","qPCR, CCK-8, colony formation, TUNEL and transwell assays","up-regulated","","","","31931771","details","","","","",""
"circABCB10","non small cell lung cancer","CCK8, Transwell migration assays, Luciferase reporter assay, Xenografts in mice, qRT?PCR, Western blot analysis","up-regulated","","","","30417418","details","","","","",""
"circABCC4","lung adenocarcinoma","qPCR","up-regulated","","","","31960988","details","","","","",""
"circACACA","non small cell lung cancer","qPCR","up-regulated","","","","32236577","details","","","","",""
"circAGFG1","non small cell lung cancer","qRT-PCR , Dual luciferase reporter assay , western blot , RIP , RNAi and transfection , transwell invasion assay , biotin-labelled miRNA pull-down assay","up-regulated","","","","31243884","details","","","","",""
"circANKRD12","lung cancer","qRT-PCR , western blot , RNA-seq , cell proliferation assay , scratch assay-cell migration assay , trans-well migration and invasion assay , collagen invasion assay , cell cycle analysis","up-regulated","","","","31185953","details","","","","",""
"circARHGAP10","non small cell lung cancer","qPCR and luciferase reporter assay","up-regulated","","","","31561126","details","","","","",""
"circATXN7","non small cell lung cancer","qRT-PCR , nucleic acid electrophoresis , cell proliferation assay , clonogenic assay , invasion assay","up-regulated","","","","31186686","details","","","","",""
"circBANP","lung cancer","qPCR, luciferase reporter assay, other","up-regulated","","","","29969631","details","","","","",""
"circBIRC6","non small cell lung cancer","qPCR, RIP","up-regulated","","","","32297303","details","","","","",""
"circCAMK2A","lung adenocarcinoma","qPCR, CCK-8, wound healing, transwell assays, Luciferase reporter and biotin-labeled RNA pull-down assays","up-regulated","","","","31889960","details","","","","",""
"circCCDC66","non small cell lung cancer","qPCR","up-regulated","","","","32151944","details","","","","",""
"circCDR1-AS","lung adenocarcinoma","qPCR","up-regulated","","","","31881486","details","","","","",""
"circCDR1as","non small cell lung cancer","qPCR, diphenyl-tetrazolium bromide, colony formation, flow cytometry and transwell assays","up-regulated","","","","31917898","details","","","","",""
"circCDR1as","non small cell lung cancer","qPCR, western blot, other","up-regulated","","","","30022841","details","","","","",""
"circciRS-7","non small cell lung cancer","qPCR","up-regulated","","","","30575911","details","","","","",""
"circCRIM1","lung adenocarcinoma","qPCR","down-regulated","","","","32329853","details","","","","",""
"circCRIM1","lung adenocarcinoma","qRT-PCR , luciferase reporter assay , western blot , RNA-seq , RIP , Microarray and CISH , fluorescence in situ hybridization , cell migration and invasion assays , in vivo metastasis assays , Real-time cell analysis","down-regulated","","","","31301086","details","","","","",""
"circEIF3as","lung cancer","qRT-PCR , western blot , RIP , RNA RNase R treatment","differential expressed","","","","31197975","details","","","","",""
"circENO1","lung adenocarcinoma","qPCR","up-regulated","","","","31767835","details","","","","",""
"circESRP1","small cell lung cancer","qPCR","down-regulated","","","","31728016","details","","","","",""
"circFADS2","Lung Cancer","qPCR, luciferase reporter assay, Microarray, other","up-regulated","","","","29700215","details","","","","",""
"circFAM120A","lung adenocarcinoma","qPCR","down-regulated","","","","31700878","details","","","","",""
"circFARSA","non small cell lung cancer","qPCR, RNA-seq, other","up-regulated","","","","29722168","details","","","","",""
"circFGFR1","non small cell lung cancer","qPCR, CCK-8, clonal formation, wound healing, and Matrigel Transwell assays","up-regulated","","","","31815619","details","","","","",""
"circFGFR3","non small cell lung cancer","qPCR","up-regulated","","","","30565694","details","","","","",""
"circFOXM1","non small cell lung cancer","qPCR, RNA immunoprecipitation, luciferase analysis, RNA pull-down, and rescue assay","up-regulated","","","","32228656","details","","","","",""
"circFOXM1","non small cell lung cancer","qPCR","up-regulated","","","","30954221","details","","","","",""
